,PLAYER,GROSS P/W,GROSS P/Y,CONTRACT EXP.,CLUB,AGE,POS BASIC,POS SPECIFIC,NATIONALITY
0,Harry Kane,€ 480.769,€ 25.000.000,Jun 30 2027,Bayern Munich,30,F,CF,England
1,Manuel Neuer,€ 403.846,€ 21.000.000,Jun 30 2025,Bayern Munich,38,K,GK,Germany
2,Thomas Müller,€ 394.231,€ 20.500.000,Jun 30 2025,Bayern Munich,34,F,SS,Germany
3,Leroy Sané,€ 384.615,€ 20.000.000,Jun 30 2025,Bayern Munich,28,F,RW,Germany
4,Joshua Kimmich,€ 375.000,€ 19.500.000,Jun 30 2025,Bayern Munich,29,D,RB,Germany
5,Serge Gnabry,€ 362.885,€ 18.870.000,Jun 30 2026,Bayern Munich,28,F,RW,Germany
6,Leon Goretzka,€ 346.154,€ 18.000.000,Jun 30 2026,Bayern Munich,29,M,CM,Germany
7,Kingsley Coman,€ 326.923,€ 17.000.000,Jun 30 2027,Bayern Munich,28,F,LW,France
8,Matthijs de Ligt,€ 307.692,€ 16.000.000,Jun 30 2027,Bayern Munich,24,D,CB,Netherlands
9,Michael Olise,€ 259.615,€ 13.500.000,Jun 30 2029,Bayern Munich,22,F,RW,France
10,Min-jae Kim,€ 230.769,€ 12.000.000,Jun 30 2028,Bayern Munich,27,D,CB,South Korea
11,Alphonso Davies,€ 216.346,€ 11.250.000,Jun 30 2025,Bayern Munich,23,D,LB,Canada
12,Sébastien Haller,€ 211.538,€ 11.000.000,Jun 30 2026,Borussia Dortmund,30,F,CF,Cote d'Ivoire
13,Niklas Süle,€ 192.308,€ 10.000.000,Jun 30 2026,Borussia Dortmund,28,D,CB,Germany
14,Dayot Upamecano,€ 192.308,€ 10.000.000,Jun 30 2026,Bayern Munich,25,D,CB,France
15,João Palhinha,€ 192.308,€ 10.000.000,Jun 30 2028,Bayern Munich,29,M,DM,Portugal
16,Dani Olmo,€ 181.346,€ 9.430.000,Jun 30 2027,Leipzig,26,F,AM,Spain
